Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2
19810324	1.909	1.444	4.9	1.1	0.00	0.76	64.7	1.00	119.6	7.3	15.2	21.6	0.000	1.690	0.219
19810325	2.055	1.488	0.8	1.5	0.00	0.82	61.4	1.00	119.6	4.1	16.5	22.4	0.000	1.829	0.226
19810326	2.020	1.401	0.0	1.1	0.00	0.81	59.0	1.00	119.6	2.4	16.1	23.2	0.000	1.786	0.234
19810327	1.749	1.276	0.0	-1.0	0.00	0.65	59.0	1.00	119.6	0.0	13.6	23.9	0.000	1.508	0.242
19810328	1.506	1.158	0.0	-1.3	0.00	0.64	59.0	1.00	119.6	0.0	11.3	24.7	0.000	1.257	0.249
19810329	1.547	1.050	0.0	1.3	0.00	0.89	56.4	1.00	119.7	2.6	11.6	25.4	0.000	1.290	0.257
19810330	1.566	0.951	0.0	1.1	0.00	0.89	54.0	1.00	119.7	2.4	11.7	26.2	0.000	1.302	0.264
19810331	2.066	0.861	0.0	3.3	0.00	1.12	46.7	1.00	119.7	7.2	16.1	26.9	0.000	1.794	0.272
19810401	2.429	0.778	0.0	2.9	0.00	1.10	40.4	1.00	119.7	6.4	19.3	27.6	0.000	2.150	0.279
19810402	2.822	0.702	0.0	3.2	0.00	1.15	33.3	1.00	119.8	7.0	22.8	28.3	0.000	2.536	0.286
19810403	4.114	0.633	0.0	4.8	0.00	1.35	22.8	1.00	119.8	10.5	28.5	29.0	0.586	3.235	0.293
19810404	5.812	0.570	0.0	4.4	0.00	1.33	13.1	1.00	119.8	9.7	31.7	29.7	1.794	3.718	0.300
19810405	7.073	0.512	0.0	4.6	0.00	1.37	3.0	1.00	119.9	10.1	34.0	30.4	2.690	4.076	0.307
19810406	5.394	0.469	0.0	7.7	0.00	1.76	0.0	0.00	119.9	2.9	30.9	31.1	1.485	3.594	0.314
19810407	3.307	0.450	0.0	6.2	1.61	1.61	0.0	0.00	118.3	0.0	26.9	31.8	0.000	2.986	0.321
19810408	2.915	0.437	0.0	4.3	1.38	1.40	0.0	0.00	116.9	0.0	23.3	32.5	0.000	2.588	0.328
19810409	2.563	0.424	0.0	6.7	1.68	1.73	0.0	0.00	115.2	0.0	20.1	33.1	0.000	2.229	0.335
19810410	2.247	0.411	0.0	6.6	1.67	1.74	0.0	0.00	113.5	0.0	17.2	33.8	0.000	1.906	0.341
19810411	1.963	0.399	0.0	7.8	1.82	1.92	0.0	0.00	111.7	0.0	14.5	34.4	0.000	1.615	0.348
19810412	1.708	0.387	0.0	8.2	1.87	2.01	0.0	0.00	109.8	0.0	12.2	35.1	0.000	1.354	0.354
19810413	1.479	0.375	0.0	5.8	1.55	1.70	0.0	0.00	108.3	0.0	10.1	35.7	0.000	1.118	0.361
19810414	1.282	0.364	0.1	7.6	1.78	1.98	0.0	0.00	106.5	0.1	8.2	36.4	0.000	0.915	0.367
19810415	1.294	0.373	2.5	4.6	1.39	1.56	0.0	0.00	105.7	2.0	8.3	37.0	0.000	0.921	0.374
19810416	1.109	0.389	0.0	2.4	1.09	1.24	0.0	0.00	104.6	0.0	6.6	37.6	0.000	0.729	0.380
19810417	0.942	0.368	0.0	3.0	1.17	1.34	0.0	0.00	103.4	0.0	5.0	38.2	0.000	0.556	0.386
19810418	0.822	0.357	0.4	4.0	1.30	1.51	0.0	0.00	102.2	0.3	3.9	38.8	0.000	0.430	0.392
19810419	0.685	0.349	0.0	4.5	1.36	1.60	0.0	0.00	100.8	0.0	2.6	39.4	0.000	0.287	0.398
19810420	0.563	0.339	0.0	6.4	1.63	1.93	0.0	0.00	99.2	0.0	1.4	40.0	0.000	0.158	0.404
19810421	0.453	0.329	0.0	0.6	0.77	0.94	0.0	0.00	98.4	0.0	0.4	40.6	0.000	0.042	0.410
19810422	0.410	0.319	0.9	-1.7	0.42	0.51	0.9	1.00	98.0	0.0	0.0	40.6	0.000	0.000	0.410
19810423	0.406	0.310	0.3	-1.5	0.00	0.52	1.2	1.00	98.0	0.0	0.0	40.2	0.000	0.000	0.406
19810424	0.410	0.304	0.0	0.9	0.00	0.94	0.0	0.00	98.4	0.8	0.0	40.6	0.000	0.000	0.410
19810425	0.406	0.302	0.0	2.3	0.98	1.20	0.0	0.00	97.4	0.0	0.0	40.2	0.000	0.000	0.406
19810426	0.402	0.294	0.0	3.1	1.09	1.34	0.0	0.00	96.3	0.0	0.0	39.8	0.000	0.000	0.402
19810427	0.635	0.324	5.0	3.3	1.11	1.37	0.0	0.00	97.0	3.3	2.0	40.4	0.000	0.227	0.408
19810428	0.518	0.376	0.0	1.8	0.84	1.04	0.0	0.00	96.1	0.0	0.9	40.9	0.000	0.104	0.414
19810429	0.686	0.381	4.2	2.7	0.98	1.21	0.0	0.00	96.6	2.7	2.4	41.5	0.000	0.267	0.419
19810430	2.340	0.700	25.3	1.2	0.72	0.86	0.0	0.00	103.5	17.7	17.2	42.1	0.000	1.914	0.425
19810501	4.213	1.533	20.6	0.3	0.55	0.62	0.0	0.00	107.5	16.0	28.5	42.7	0.558	3.223	0.431
19810502	3.270	2.070	1.1	0.6	0.58	0.65	0.0	0.00	107.1	0.9	25.5	43.2	0.000	2.834	0.437
19810503	2.892	1.865	0.0	0.9	0.61	0.68	0.0	0.00	106.5	0.0	22.1	43.8	0.000	2.450	0.442
19810504	2.553	1.684	0.0	2.5	0.91	1.03	0.0	0.00	105.6	0.0	18.9	44.3	0.000	2.105	0.448
19810505	2.248	1.533	0.0	5.1	1.44	1.63	0.0	0.00	104.2	0.0	16.2	44.9	0.000	1.795	0.453
19810506	1.974	1.394	0.0	8.2	2.07	2.38	0.0	0.00	102.1	0.0	13.6	45.4	0.000	1.515	0.459
19810507	1.728	1.267	0.0	9.2	2.24	2.63	0.0	0.00	99.9	0.0	11.4	46.0	0.000	1.264	0.464
19810508	1.507	1.151	0.0	10.6	2.49	2.99	0.0	0.00	97.4	0.0	9.3	46.5	0.000	1.037	0.470
19810509	1.308	1.044	0.0	12.3	2.79	3.44	0.0	0.00	94.6	0.0	7.5	47.0	0.000	0.834	0.475
19810510	1.130	0.946	0.0	15.2	3.33	4.22	0.0	0.00	91.3	0.0	5.9	47.5	0.000	0.650	0.480
19810511	0.971	0.857	0.0	14.7	3.12	4.10	0.0	0.00	88.2	0.0	4.4	48.1	0.000	0.485	0.485
19810512	0.827	0.775	0.0	12.2	2.50	3.41	0.0	0.00	85.6	0.0	3.0	48.6	0.000	0.337	0.491
19810513	0.699	0.700	0.0	10.9	2.17	3.03	0.0	0.00	83.5	0.0	1.8	49.1	0.000	0.203	0.496
19810514	0.583	0.631	0.0	12.5	2.43	3.49	0.0	0.00	81.1	0.0	0.7	49.6	0.000	0.083	0.501
19810515	0.503	0.568	0.0	13.4	2.53	3.75	0.0	0.00	78.5	0.0	0.0	49.8	0.000	0.000	0.503
19810516	0.498	0.512	0.0	13.2	2.41	3.68	0.0	0.00	76.1	0.0	0.0	49.3	0.000	0.000	0.498
19810517	0.493	0.473	0.0	13.6	2.42	3.82	0.0	0.00	73.7	0.0	0.0	48.8	0.000	0.000	0.493
19810518	0.488	0.456	0.0	15.4	2.69	4.39	0.0	0.00	71.0	0.0	0.0	48.3	0.000	0.000	0.488
19810519	0.483	0.442	0.0	16.8	2.87	4.84	0.0	0.00	68.1	0.0	0.0	47.8	0.000	0.000	0.483
19810520	0.478	0.429	0.0	15.0	2.44	4.30	0.0	0.00	65.7	0.0	0.0	47.4	0.000	0.000	0.478
19810521	0.474	0.416	0.0	18.1	2.91	5.31	0.0	0.00	62.8	0.0	0.0	46.9	0.000	0.000	0.474
19810522	0.469	0.404	0.0	18.3	2.83	5.40	0.0	0.00	60.0	0.0	0.0	46.4	0.000	0.000	0.469
19810523	0.464	0.392	0.0	18.0	2.66	5.33	0.0	0.00	57.3	0.0	0.0	46.0	0.000	0.000	0.464
19810524	0.461	0.381	0.5	18.1	2.58	5.39	0.0	0.00	55.1	0.1	0.0	45.6	0.000	0.000	0.461
19810525	0.490	0.382	5.5	12.6	1.71	3.58	0.0	0.00	57.7	1.2	0.2	46.1	0.000	0.024	0.466
19810526	0.464	0.388	0.0	14.2	1.98	4.13	0.0	0.00	55.7	0.0	0.0	45.9	0.000	0.000	0.464
19810527	0.680	0.415	12.4	10.6	1.46	2.91	0.0	0.00	63.5	3.1	1.9	46.4	0.000	0.211	0.469
19810528	0.564	0.465	0.0	11.3	1.66	3.14	0.0	0.00	61.8	0.0	0.8	47.0	0.000	0.090	0.474
19810529	0.478	0.429	0.2	13.5	2.02	3.91	0.0	0.00	60.0	0.1	0.0	47.3	0.000	0.000	0.478
